time,cpu_percent,ram_percent,gpu_load,gpu_temp,disk_read,disk_write
0.1,0.0,94.5,0.0,58.0,200216713216,109656970240
1.3,98.0,98.2,0.0,58.0,15895040,147021824
2.6,91.3,98.7,0.0,58.0,13963264,173682688
3.7,100.0,97.1,0.0,58.0,3825664,70635520
4.8,100.0,97.0,0.0,59.0,28119552,512000
5.8,100.0,95.4,0.0,59.0,15925248,96108544
6.9,100.0,95.5,0.0,59.0,5804032,3973120
8.0,100.0,95.6,0.0,59.0,2293760,1064960
9.1,100.0,95.6,0.0,59.0,5097984,24576
10.2,100.0,95.6,0.0,59.0,1314816,4096
11.3,100.0,95.6,0.0,59.0,1720320,0
12.3,100.0,95.7,0.0,59.0,1286144,65536
13.4,100.0,95.7,0.0,59.0,1441792,57344
14.5,100.0,96.0,0.0,59.0,9368064,94208
15.6,100.0,96.1,0.0,59.0,4096,4096
16.6,100.0,96.1,0.0,59.0,884736,204800
17.7,100.0,96.1,0.0,59.0,462848,4096
18.8,100.0,96.6,0.0,59.0,21868544,278528
19.9,100.0,90.5,0.0,60.0,102400,278745088
21.0,100.0,90.6,0.0,60.0,634880,8192
22.1,100.0,90.7,0.0,60.0,3698688,4096
27.6,58.3,99.7,0.0,60.0,649375744,1975513088
29.3,28.3,97.2,0.0,60.0,291492864,118784
30.4,25.7,52.4,0.0,60.0,183120896,433659904
31.5,12.9,53.5,0.0,60.0,38906880,726138880
33.0,9.3,54.8,0.0,60.0,14892544,654897152
34.5,6.8,55.1,0.0,60.0,28344320,95948800
35.9,6.9,55.6,0.0,60.0,53140992,98222080
37.4,7.0,56.3,0.0,60.0,38212096,87941120
38.6,5.7,56.8,0.0,60.0,34098688,73924608
43.0,3.5,57.0,0.0,60.0,50381312,56086528
46.8,4.5,57.7,0.0,60.0,23656960,33386496
48.0,4.9,58.5,0.0,60.0,39520256,76562432
49.1,7.2,58.7,0.0,60.0,22097920,66322432
50.5,7.4,59.4,0.0,60.0,33906176,83697664
51.6,18.2,55.7,0.0,60.0,167852032,41164800
52.6,21.3,58.5,0.0,60.0,176292352,102400
53.7,8.1,61.7,0.0,60.0,102683648,65536
54.7,16.1,63.2,0.0,60.0,56522240,0
55.8,12.9,63.8,0.0,60.0,22853120,0
56.9,14.3,64.3,0.0,60.0,34270208,4096
58.0,12.0,65.4,0.0,60.0,48714752,466944
59.1,20.6,68.7,100.0,73.0,102393856,0
60.2,11.3,69.0,100.0,74.0,12121600,0
61.3,6.3,69.1,100.0,75.0,1187840,7770112
62.3,5.6,69.1,100.0,75.0,5356032,6082560
63.4,3.5,69.1,100.0,76.0,2043904,0
64.5,7.9,69.1,100.0,76.0,10407936,389120
65.7,15.0,69.2,100.0,76.0,30224384,5754880
66.8,15.5,69.8,100.0,76.0,55919104,7012352
67.9,4.0,70.1,100.0,77.0,3657728,0
68.9,7.3,70.5,100.0,77.0,8663040,0
70.0,5.4,70.7,100.0,77.0,11223040,0
71.1,6.9,70.8,100.0,77.0,14203392,0
72.1,6.2,71.0,100.0,77.0,12187136,73728
73.2,10.4,71.1,100.0,77.0,23838208,0
74.2,5.6,71.4,100.0,77.0,6731264,53248
75.3,4.3,71.4,100.0,78.0,962560,0
76.3,3.8,71.5,100.0,77.0,2281472,0
77.4,3.7,71.5,100.0,78.0,5473792,0
78.5,5.1,71.5,100.0,78.0,2617344,0
79.5,5.2,71.6,100.0,78.0,1032192,0
